000561 BY20201|中国近现代史
000091 BY20230|美国史
000014 BY20320|四书
000017 BY20330|柏拉图理想国
000094 BY20360|春秋公羊传
000031 BY20920|文化人类学理论
000025 BY30100|文艺理论
000245 BY30141|中国当代文学
000474 BY30160|中国古代文学(I)
000249 BY30221|班马异同
000100 BY30360|康德《纯粹理性批判》导读
000020 BY30400|政治学
000098 BY30420|法理学
000247 BY30910|社会科学研究方法
000562 BY36220|宋史专题
000482 BY40131|宋代文学专题研究
000359 BY40190|文化理论与大众传媒
000477 BY40231|中国古代都城与文化
000361 BY40332|德语(双语)入门
000575 BY40360|中级希腊语
000479 BY40632|中国法律与中国社会
000362 BY40941|族群与边疆
000476 BY46350|印度宗教和哲学
000483 BY47115|语言学的理论与方法
000475 BY47215|中国学术思想史
000481 BY47216|历史研究的材料与方法
000480 BY47315|西方形而上学专题研究
000493 CE10018|土建大类概论与研讨
208203 CE20010|工程结构基础
208208 CE30100|专业英语
208209 CE30103|混凝土结构基本原理（I）（建工、岩土、安装）
208210 CE30104|混凝土结构基本原理（I）（道桥）
208211 CE30108|钢结构设计原理（建工、地下、安装方向）
208212 CE30109|城市地下空间概论
208213 CE30112|桥涵水文
208214 CE30113|道路勘测设计
208215 CE30115|交通工程（I）
208217 CE30121|土木工程施工（I）
208218 CE30124|房屋结构设计
208224 CE30139|技术经济学
208227 CE30148|工程水文学
208228 CE30151|工程机械
208241 CE30300|给排水工程结构
208243 CE30400|混凝土结构基本原理（II）
200000 CE30800|混凝土结构基本原理（I）
000108 CE30803|结构动力学与抗震设计方法（双语）
000109 CE30805|钢结构原理及设计
208245 CE31100|土力学
208246 CE31110|岩体力学
208248 CE32100|土木工程综合实验
208249 CE34100|专业认识实习（建工、岩土、安装）
208250 CE34105|专业认识实习（道桥）
208251 CE34110|道路勘测设计课程设计
208253 CE35100|混凝土结构课程设计（1）
208258 CE35120|混凝土结构课程设计（1）（道桥）
000221 CE35400|混凝土结构课程设计（II）
208265 CE40103|合同管理与索赔
208266 CE40106|建筑法规
208267 CE40109|建筑钢结构（建工、岩土）
208268 CE40112|结构抗震设计
208269 CE40115|多高层房屋结构设计
208270 CE40118|工程造价（建工、岩土）
208271 CE40121|建设项目管理
208272 CE40124|高层建筑施工
208273 CE40127|边坡工程学
208274 CE40130|高层建筑基础设计
208275 CE40133|地基处理
208276 CE40136|地下建筑结构
208277 CE40139|桥梁抗震
208278 CE40142|道路建材
208279 CE40145|钢结构与组合结构桥梁
208280 CE40148|桥梁结构数值分析
208281 CE40151|道路桥梁工程定额概预算
208282 CE40154|土木工程施工（安装）
208283 CE40157|焊接技术
208284 CE40201|建筑施工
208285 CE40400|钢结构基本原理
208286 CE40405|土力学与基础工程
000283 CE40803|结构检测技术
000284 CE40805|建筑施工安全
000285 CE40807|建筑信息模型与应用（BIM）
208287 CE41100|建筑结构CAD
208288 CE41103|路桥CAD
208289 CE41106|安装原理
208290 CE41109|起重工艺
208291 CE41112|道路与桥梁工程试验检测技术
208292 CE44100|生产实习（建工、岩土）
208293 CE44110|生产实习（道桥）
208294 CE44115|毕业实习（建工）
208298 CE45100|建筑钢结构课程设计（建工、岩土）
208299 CE45105|安装原理课程设计
208300 CE45110|土木工程施工课程设计（安装）
208301 CE45115|起重工艺课程设计
208304 CEM20110|理论力学（I）
208305 CEM20116|理论力学（III）
208306 CEM20210|建筑力学与结构选型（下）
208307 CEM20400|理论力学（III）
208309 CEM21000|工程力学
208311 CEM21035|材料力学（I）
208313 CEM30005|结构力学（IV）
208314 CEM30100|弹性力学
208315 CEM30101|结构力学（I-1）
208316 CEM30103|结构力学(III)
208317 CEM30110|结构力学（I-2）
208318 CEM30400|结构力学（Ⅱ）
218243 CEME19101|新生研讨课
218245 CEME20105|土建概论（含建筑、规划、道路）
218247 CEME20205|水资源利用与保护（全英文）
218250 CEME30301|给排水管道系统Ⅰ（给水管网，含取水）
218251 CEME30302|给排水管道系统Ⅱ（排水管网）
218255 CEME30404|城市水工程仪表与控制（含自控原理）
218256 CEME30502|建筑给排水
218258 CEME30603|水工程设施运营管理
218259 CEME30605|水工程法规
218260 CEME30606|水工程经济（投资、经济、财务、成本）
218261 CEME31103|水处理生物学
218262 CEME31104|泵与泵站
218265 CEME31601|水工程CAD（含3D建模）
218266 CEME31607|水工程材料与设备基础
218271 CEME35704|给排水泵站综合设计
218272 CEME35705|给排水管道工程综合设计
218276 CEME35710|水工程经济课程设计
218280 CEME40203|水工程信息模型
218282 CEME40304|市政工程规划
218283 CEME40604|给排水前沿技术与案例分析
048201 CHC20650|中国文化元典导读
228001 CHEM10000|大学化学Ⅰ
000582 CHEM10004|大学化学II
000581 CHEM10005|大学化学III
000494 CHEM10008|大学化学IV-A
228203 CHEM10010|无机化学
228005 CHEM10021|分析化学II
228007 CHEM12000|大学化学实验Ⅰ
000544 CHEM12100|大学化学实验Ⅰ
000545 CHEM12103|大学化学实验 II
000599 CHEM12112|基础化学实验（1）
000333 CHEM12121|化学实验室技术安全
228209 CHEM19000|新生研讨课
228210 CHEM20032|有机化学（I－2）
228011 CHEM20033|有机化学II
228211 CHEM20041|物理化学（I-1）
228213 CHEM20044|物理化学（Ⅳ）
228214 CHEM22130|基础化学实验(3)
228217 CHEM30010|仪器分析（II）
228218 CHEM30011|仪器分析（Ⅰ）
228219 CHEM30040|物理化学（Ⅲ）（原为物理化学Ⅰ）
228220 CHEM30041|物理化学（II-1）
228222 CHEM30200|材料分析测试方法
228224 CHEM30220|化学电源
228226 CHEM30222|材料腐蚀与防护
